pageid,title,wikitext,anlam,parcalar,yeni_parcalar,degisti_mi,muhtemel aynılar
300336,Aba altında er yatar,#ERROR!,# giyim kuşam kişiliğe ölçü olamaz.,"giyim, kuşam, kişiliğe, kişilik, ölçü, olamaz","giyim, kuşam, kişiliğe, kişilik, ölçü, olamaz",0,"('Kepenek altında er yatar', 77, 231555)"
181516,"Aba vakti aba, yaba vakti yaba alan yanılmaz",#ERROR!,"# ""Her şey zamanında yapılırsa kişi kazançlı olur"" anlamında bir söz.","zamanında, yapılırsa, kişi, kazançlı, kazanç, olur, anlamında, anlam, bir, söz","zamanında, yapılırsa, kişi, kazançlı, kazanç, olur",1,"('Aba vakti yaba, yaba vakti aba', 78, 230321)"
230321,"Aba vakti yaba, yaba vakti aba",#ERROR!,"# Kişi, kendisine gerek olan şeyleri vaktinden önce ve ucuz olduğu zaman satın almalıdır.Yazın aba, kışın yaba satın almak gibi.(Mecaz anlamlıdır.) ","kişi, kendisine, kendi, gerek, olan, o, şeyleri, şey, vaktinden, vakit, önce, ucuz, olduğu, olmak, zaman, satın, satı, almalıdır, almak, yazın, aba, kışın, yaba, satın, satı, almak, mecaz, anlamlıdır, anlam","kişi, kendisine, kendi, gerek, olan, şeyleri, şey, vaktinden, vakit, önce, ucuz, olduğu, olmak, zaman, satın, almalıdır, almak, yazın, aba, kışın, yaba, satın, almak",1,
378479,Aba zaman yaba yaba zaman aba alınır,#ERROR!,"# Kişi, kendisine gerek olan şeyleri vaktinden önce ve ucuz olduğu zaman satın almalıdır.Yazın kışlık almak,kışın yazlık almak her zaman karlıdır. # İnsan kendisine lazım olan şeyleri vaktinden önce almalıdır. Harman zamanı kullanacağı yabayı kışın, kışlık elbiseyi yazın almalıdır.","kişi, kendisine, kendi, gerek, olan, o, şeyleri, şey, vaktinden, vakit, önce, ucuz, olduğu, olmak, zaman, satın, satı, almalıdır, almak, yazın, kışlık, kış, almak, kışın, yazlık, almak, zaman, karlıdır, karl, i, nsan, kendisine, kendi, lazım, olan, o, şeyleri, şey, vaktinden, vakit, önce, almalıdır, almak, harman, zamanı, zaman, kullanacağı, kul, yabayı, yaba, kışın, kışlık, kış, elbiseyi, elbise, yazın, almalıdır, almak","kişi, kendisine, kendi, gerek, olan, şeyleri, şey, vaktinden, vakit, önce, ucuz, olduğu, olmak, zaman, satın, almalıdır, almak, yazın, kışlık, kış, almak, kışın, yazlık, almak, zaman, karlıdır, insan, kendisine, kendi, lazım, olan, şeyleri, şey, vaktinden, vakit, önce, almalıdır, almak, harman, zamanı, zaman, kullanacağı, yabayı, yaba, kışın, kışlık, kış, elbiseyi, elbise, yazın, almalıdır, almak",1,
181515,Abanın kadri yağmurda bilinir,#ERROR!,"# Abanın kadri yağmurda bilinir atasözü ""Daha önce kıymetsiz gibi görünen bir çok şeyin,kullanım zamanı gelince değerinin artması. # Bir şeyin gerçek değeri, ancak ona çok gerekseme duyulduğu zaman iyi anlaşılır. (Kaynak: Aksoy, Ömer Asım (). Atasözleri ve Deyimler Sözlüğü  Deyimler Sözlüğü. İstanbul: İnkılâp Kitabevi.","abanın, abanmak, kadri, yağmurda, yağmur, bilinir, atasözü, önce, kıymetsiz, kıymet, görünen, bir, şeyin, şey, kullanım, zamanı, zaman, gelince, gelin, değerinin, değer, artması, artmak, bir, şeyin, şey, gerçek, değeri, değer, ancak, ona, onamak, gerekseme, gereksemek, duyulduğu, zaman, iyi, anlaşılır, an, kaynak, aksoy, ömer, asım, atasözleri, atasöz, deyimler, deyim, sözlüğü, sözlük, deyimler, deyim, sözlüğü, sözlük, i, stanbul, i, nkılâp, kitabevi","abanın, aba, kadir, yağmurda, yağmur, bilinir, önce, kıymetsiz, kıymet, görünen, şeyin, şey, kullanım, zamanı, zaman, gelince, değerinin, değer, artması, artmak, şeyin, şey, gerçek, değeri, değer, ancak, ona, gerekseme, gereksemek, ihtiyaç, duyulduğu, zaman, iyi, anlaşılır, anlaşılmak",1,
181704,"Abdal abdalın ne umduğunu, ne bulduğunu ister",#ERROR!,"# ""Sosyal seviyesi eşit insanlar birbirlerini çekemezler"" anlamında bir söz.","sosyal, seviyesi, seviye, eşit, insanlar, insan, birbirlerini, birbiri, çekemezler, çekemez, anlamında, anlam, bir, söz","sosyal, seviyesi, seviye, eşit, insanlar, insan, birbirlerini, çekemezler, çekememek",1,
317036,Abdal ata binince bey oldum sanır,#ERROR!,"# Görmemiş kişi, rastlantı olarak layık olmadığı bir duruma kavuşsa bu durum kendisinin hakkıymış gibi böbürlenir.","görmemiş, görmek, kişi, rastlantı, olarak, layık, olmadığı, olmak, bir, duruma, durum, kavuşsa, kavuşmak, durum, kendisinin, kendi, hakkıymış, hakk, böbürlenir, böbürlenmek","görmemiş, görmek, kişi, rastlantı, olarak, layık, olmadığı, olmak, duruma, durum, kavuşsa, kavuşmak, durum, kendisinin, kendi, hakkıymış, hak, böbürlenir, böbürlenmek",1,
230325,"Abdal ata binince bey oldum sanır, şalgam aşa girince yağ oldum sanır",#ERROR!,"# Görmemiş kişi, rastlantı olarak layık olmadığı bir duruma kavuşursa bu durum kendisinin hakkıymış gibi aptalca böbürlenir. ","görmemiş, görmek, kişi, rastlantı, olarak, layık, olmadığı, olmak, bir, duruma, durum, kavuşursa, kavuşmak, durum, kendisinin, kendi, hakkıymış, hakk, aptalca, aptal, böbürlenir, böbürlenmek","görmemiş, görmek, kişi, rastlantı, olarak, layık, olmadığı, olmak, duruma, durum, kavuşursa, kavuşmak, durum, kendisinin, kendi, hakkıymış, hak, aptalca, aptal, böbürlenir, böbürlenmek",1,"('Aptal ata binerse bey oldum sanır, şalgam aşa girerse yağ oldum sanır', 88, 230493)"
230326,"Abdal düğünden, çocuk oyundan usanmaz",#ERROR!,# Bir kimse sevdiği işi döne döne ve uzun süre yapmaktan bıkmaz.,"bir, kimse, sevdiği, sevmek, işi, iş, döne, döne, uzun, süre, yapmaktan, yapmak, bıkmaz, bıkmak","bir, kimse, sevdiği, sevmek, işi, iş, döne döne, uzun, süre, yapmaktan, yapmak, bıkmaz, bıkmak",1,
220934,Abdala malum olur,#ERROR!,# Bir şeyin olacağını önceden sezen kimseler için şaka yollu söylenir.,"bir, şeyin, şey, olacağını, önceden, sezen, kimseler, kimse, şaka, yollu, yol, söylenir","bir, şeyin, şey, olacağını, önceden, sezen, kimseler, kimse, şaka, yollu, yol, söylenir",0,
